fold,fit_train_start_x,fit_train_end_x,validation_start_x,validation_end_x,test_start,test_end,fit_train_rows_x,validation_rows_x,test_rows_x,BTC_auc,BTC_threshold_mode,BTC_raw_short_threshold,BTC_raw_long_threshold,BTC_short_threshold_was_extreme,BTC_long_threshold_was_extreme,BTC_adjusted_threshold,BTC_adjusted_short_threshold,BTC_adjusted_long_threshold,BTC_threshold,BTC_short_threshold,BTC_long_threshold,BTC_threshold_ema_alpha,BTC_validation_probability_min,BTC_validation_probability_max,BTC_validation_threshold_sharpe,BTC_validation_threshold_pnl,BTC_validation_threshold_trades,BTC_validation_threshold_trade_fraction,BTC_validation_threshold_win_rate,BTC_validation_threshold_tie_trades,BTC_validation_threshold_tie_trade_fraction,BTC_fit_weight_min,BTC_fit_weight_mean,BTC_fit_weight_max,BTC_fit_weight_effective_rows,BTC_test_trades,BTC_test_trade_fraction,BTC_test_tie_trades,BTC_test_tie_trade_fraction,BTC_win_rate,BTC_pnl,BTC_test_sharpe,BTC_best_iteration,BTC_model_path,fit_train_start_y,fit_train_end_y,validation_start_y,validation_end_y,fit_train_rows_y,validation_rows_y,test_rows_y,ETH_auc,ETH_threshold_mode,ETH_raw_short_threshold,ETH_raw_long_threshold,ETH_short_threshold_was_extreme,ETH_long_threshold_was_extreme,ETH_adjusted_threshold,ETH_adjusted_short_threshold,ETH_adjusted_long_threshold,ETH_threshold,ETH_short_threshold,ETH_long_threshold,ETH_threshold_ema_alpha,ETH_validation_probability_min,ETH_validation_probability_max,ETH_validation_threshold_sharpe,ETH_validation_threshold_pnl,ETH_validation_threshold_trades,ETH_validation_threshold_trade_fraction,ETH_validation_threshold_win_rate,ETH_validation_threshold_tie_trades,ETH_validation_threshold_tie_trade_fraction,ETH_fit_weight_min,ETH_fit_weight_mean,ETH_fit_weight_max,ETH_fit_weight_effective_rows,ETH_test_trades,ETH_test_trade_fraction,ETH_test_tie_trades,ETH_test_tie_trade_fraction,ETH_win_rate,ETH_pnl,ETH_test_sharpe,ETH_best_iteration,ETH_model_path
0,2022-01-01T04:10:00+00:00,2022-11-02T04:00:00+00:00,2022-11-02T04:10:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:10:00+00:00,2023-01-31T04:00:00+00:00,43914,8640,4320,0.561722698100604,double,0.44,0.58,False,False,0.51,0.44,0.58,0.51,0.44,0.58,0.7,0.3587548639304942,0.6703335833922889,18.159170354698716,253.3,1553,0.1797453703703703,0.6462628865979382,1,0.0001157407407407,0.7381994275514518,1.0,1.3173876553189705,42722.16878566967,947,0.2192129629629629,0,0.0,0.5997888067581837,75.4,9.65912985993582,326,results/btc_eth_external_10m/models/fold_000_BTC.txt,2022-01-01T04:10:00+00:00,2022-11-02T04:00:00+00:00,2022-11-02T04:10:00+00:00,2023-01-01T04:00:00+00:00,43914,8640,4319,0.5704451796314622,double,0.44,0.55,False,False,0.495,0.44,0.55,0.495,0.44,0.55,0.7,0.3330992724980696,0.6485745006849245,13.800186721772784,256.0,2696,0.312037037037037,0.608550185873606,6,0.0006944444444444,0.7382444419751938,1.0,1.3174679878740163,42685.409367910725,1400,0.3241491085899514,4,0.000926140310257,0.589541547277937,85.00000000000004,8.947182840086155,207,results/eth_btc_external_10m/models/fold_000_ETH.txt
1,2022-01-01T04:10:00+00:00,2022-12-02T04:00:00+00:00,2022-12-02T04:10:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:10:00+00:00,2023-03-02T04:00:00+00:00,48234,8640,4320,0.5686570958691746,double,0.41,0.56,False,False,0.485,0.41,0.56,0.4925,0.419,0.5660000000000001,0.7,0.3698687406050712,0.6431139556116485,14.631812713134504,198.80000000000004,1459,0.1688657407407407,0.6312542837559972,0,0.0,0.7154144938375092,1.0,1.351573945773004,46665.57796768857,889,0.205787037037037,0,0.0,0.5883014623172104,52.40000000000002,6.907034384162947,212,results/btc_eth_external_10m/models/fold_001_BTC.txt,2022-01-01T04:10:00+00:00,2022-12-02T04:00:00+00:00,2022-12-02T04:10:00+00:00,2023-01-31T04:00:00+00:00,48234,8639,4320,0.5644013523407554,double,0.43,0.56,False,False,0.495,0.43,0.56,0.495,0.433,0.557,0.7,0.3520458627490267,0.6557394846611407,10.520245339978286,167.00000000000006,1966,0.227572635721727,0.6029561671763507,4,0.0004630165528417,0.7154878915825401,1.0,1.3517126101147483,46618.52304887848,1177,0.2724537037037037,4,0.0009259259259259,0.5865302642796248,65.00000000000003,7.456296205040775,152,results/eth_btc_external_10m/models/fold_001_ETH.txt
2,2022-01-01T04:10:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:10:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:10:00+00:00,2023-04-01T04:00:00+00:00,52554,8640,4292,0.562238614453292,double,0.38,0.59,False,False,0.485,0.38,0.59,0.4872499999999999,0.3917,0.5828,0.7,0.357907700746829,0.6633110476786048,9.9163151472705,91.4,670,0.0775462962962963,0.6313432835820896,0,0.0,0.6931575590706417,1.0,1.386296835909941,50538.61183121314,335,0.0780521901211556,0,0.0,0.5432835820895522,-7.399999999999994,-1.5773423135400515,229,results/btc_eth_external_10m/models/fold_002_BTC.txt,2022-01-01T04:10:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:10:00+00:00,2023-03-02T04:00:00+00:00,52554,8639,4292,0.5632171818791537,double,0.44,0.56,False,False,0.5,0.44,0.56,0.4985,0.4379,0.5591,0.7,0.3437917011503291,0.6395896705261378,7.728910811394403,141.00000000000006,2577,0.2982984141683065,0.5862203191903465,8,0.0009260331056835,0.6932295391535286,1.0,1.3864407941772192,50485.84272832618,953,0.2220410065237651,3,0.0006989748369058,0.5936842105263158,64.90000000000003,8.31419088549787,117,results/eth_btc_external_10m/models/fold_002_ETH.txt
3,2022-01-01T04:10:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:10:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:10:00+00:00,2023-05-01T04:00:00+00:00,56874,8612,4320,0.5624628839473287,double,0.44,0.6,False,False,0.52,0.44,0.6,0.510175,0.42551,0.59484,0.7,0.3639831847172267,0.6711648040574377,8.359874255937665,114.60000000000002,1464,0.1699953553181607,0.5990437158469946,0,0.0,0.6714010377401458,1.0,1.4215052496944838,54341.4597267439,329,0.0761574074074074,0,0.0,0.60790273556231,31.000000000000007,6.7471242062293495,223,results/btc_eth_external_10m/models/fold_003_BTC.txt,2022-01-01T04:10:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:10:00+00:00,2023-04-01T04:00:00+00:00,56873,8612,4320,0.5557810021380786,double,0.42,0.59,False,False,0.505,0.42,0.59,0.50305,0.42537,0.58073,0.7,0.3794289511309537,0.6382040945407125,7.07897780198379,60.40000000000001,575,0.0667673014398513,0.6147110332749562,4,0.0004644681839294,0.6715042441405875,1.0,1.4217237605870552,54275.71817037293,481,0.1113425925925925,0,0.0,0.5821205821205822,23.00000000000001,4.11459659780998,102,results/eth_btc_external_10m/models/fold_003_ETH.txt
4,2022-01-01T04:10:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:10:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:10:00+00:00,2023-05-31T04:00:00+00:00,61194,8612,4320,0.5564463355000606,double,0.44,0.58,False,False,0.51,0.44,0.58,0.5100525,0.435653,0.584452,0.7,0.3649209379279134,0.6613736742875984,9.127199657115108,129.40000000000003,1568,0.1820715281003251,0.6014030612244898,0,0.0,0.6501572736039931,1.0,1.4572265547838643,58067.50232874711,598,0.1384259259259259,0,0.0,0.5903010033444817,37.40000000000002,6.012885331261125,265,results/btc_eth_external_10m/models/fold_004_BTC.txt,2022-01-01T04:10:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:10:00+00:00,2023-05-01T04:00:00+00:00,61193,8612,4320,0.5669937902737237,double,0.44,0.62,False,False,0.53,0.44,0.62,0.521915,0.435611,0.6082190000000001,0.7,0.3645688240314768,0.6465124943459492,8.691685348531227,101.30000000000004,1066,0.1237807710171853,0.6086547507055503,3,0.000348351137947,0.6502663962751147,1.0,1.457471136303665,57992.30257398969,584,0.1351851851851851,0,0.0,0.6352739726027398,83.80000000000001,13.795776305320748,118,results/eth_btc_external_10m/models/fold_004_ETH.txt
5,2022-01-01T04:10:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:10:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:10:00+00:00,2023-06-30T04:00:00+00:00,65486,8640,4320,0.5350881148068946,double,0.45,0.58,False,False,0.515,0.45,0.58,0.51351575,0.4456959,0.5813356,0.7,0.3726244348686677,0.6343205469879734,10.28874945824544,156.20000000000005,1795,0.2077546296296296,0.6038997214484679,0,0.0,0.6295486146093424,1.0,1.4937575560261531,61689.37811036599,831,0.1923611111111111,0,0.0,0.5583634175691937,4.200000000000019,0.5684800144763835,223,results/btc_eth_external_10m/models/fold_005_BTC.txt,2022-01-01T04:10:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:10:00+00:00,2023-05-31T04:00:00+00:00,65485,8640,4320,0.5276435469630535,double,0.41,0.63,False,False,0.52,0.41,0.63,0.5205744999999999,0.4176833,0.6234657,0.7,0.3469823984646096,0.6800954931784909,11.099717261504066,100.90000000000002,656,0.0759259259259259,0.6412213740458015,1,0.0001157407407407,0.6296460308524462,1.0,1.493988699810508,61608.38424891806,479,0.1108796296296296,3,0.0006944444444444,0.5504201680672269,-4.699999999999996,-0.8390146257024906,208,results/eth_btc_external_10m/models/fold_005_ETH.txt
6,2022-01-01T04:10:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:10:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:10:00+00:00,2023-07-30T04:00:00+00:00,69806,8640,4318,0.5507616892911011,double,0.43,0.56,False,False,0.495,0.43,0.56,0.500554725,0.43470877,0.56640068,0.7,0.3994421671278395,0.596344368662433,9.805053710610672,101.40000000000003,840,0.0972222222222222,0.6226190476190476,0,0.0,0.6093010177104127,1.0,1.5304704104528952,65248.73543366963,358,0.0829087540528022,0,0.0,0.6340782122905028,50.60000000000001,10.63110478259478,117,results/btc_eth_external_10m/models/fold_006_BTC.txt,2022-01-01T04:10:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:10:00+00:00,2023-06-30T04:00:00+00:00,69805,8640,4319,0.5396946209468922,double,0.44,0.5700000000000001,False,False,0.505,0.44,0.5700000000000001,0.50967235,0.43330499,0.5860397100000001,0.7,0.382661957605342,0.632047055987472,8.32758518247798,122.20000000000005,1676,0.1939814814814814,0.5964071856287425,6,0.0006944444444444,0.6094061130155245,1.0000000000000002,1.530734393689548,65158.80958252952,531,0.1229451261866172,1,0.0002315350775642,0.6037735849056604,45.90000000000001,7.865555085761865,97,results/eth_btc_external_10m/models/fold_006_ETH.txt
7,2022-01-01T04:10:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:10:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:10:00+00:00,2023-08-29T04:00:00+00:00,74126,8638,4305,0.5442511804085068,double,0.42,0.58,False,False,0.5,0.42,0.58,0.5001664175,0.424412631,0.575920204,0.7,0.3597353554861019,0.6257061880839783,8.891593428719426,92.20000000000002,842,0.0974762676545496,0.6163895486935868,0,0.0,0.5895583449025779,1.0,1.567696599794728,68721.23248278644,481,0.1117305458768873,0,0.0,0.5634095634095634,6.800000000000013,1.21326855363248,203,results/btc_eth_external_10m/models/fold_007_BTC.txt,2022-01-01T04:10:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:10:00+00:00,2023-07-30T04:00:00+00:00,74125,8639,4317,0.5382393720884487,double,0.46,0.5700000000000001,False,False,0.515,0.46,0.5700000000000001,0.513401705,0.451991497,0.5748119130000001,0.7,0.4268325889130942,0.5811797381824002,7.587232779792124,76.40000000000003,793,0.0917930316008797,0.6093552465233881,2,0.0002315082764208,0.5896480158522465,1.0,1.5679350441219286,68626.58997211291,142,0.0328932128793143,0,0.0,0.6267605633802817,18.200000000000003,6.057479408966897,41,results/eth_btc_external_10m/models/fold_007_ETH.txt
8,2022-01-01T04:10:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:10:00+00:00,2023-08-29T04:00:00+00:00,2023-08-29T04:10:00+00:00,2023-09-28T04:00:00+00:00,78446,8623,4312,0.5571947867220763,double,0.42,0.64,False,False,0.53,0.42,0.64,0.52104992525,0.4213237893,0.6207760612,0.7,0.344654249841892,0.6569295869519155,7.652379244761931,58.80000000000001,465,0.0539255479531485,0.6258064516129033,0,0.0,0.5703042188031343,1.0,1.6054027446470245,72105.98286521797,288,0.0667903525046382,0,0.0,0.5625,3.600000000000005,0.8292427632161539,339,results/btc_eth_external_10m/models/fold_008_BTC.txt,2022-01-01T04:10:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:10:00+00:00,2023-08-29T04:00:00+00:00,78445,8636,4317,0.5586247431290549,double,0.43,0.6,False,False,0.515,0.43,0.6,0.5145205115,0.4365974491,0.5924435739,0.7,0.3792379655954781,0.6270752726346944,9.712002900444874,80.9,550,0.0636868920796665,0.6375227686703097,1,0.0001157943492357,0.5704237777257762,1.0,1.6057393022529969,71997.7243278262,372,0.0861709520500347,0,0.0,0.6182795698924731,42.00000000000001,8.622704891781087,94,results/eth_btc_external_10m/models/fold_008_ETH.txt
9,2022-01-01T04:10:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:10:00+00:00,2023-09-28T04:00:00+00:00,2023-09-28T04:10:00+00:00,2023-10-28T04:00:00+00:00,82764,8617,4318,0.5479524483451571,double,0.4,0.61,False,False,0.505,0.4,0.61,0.509814977575,0.40639713679,0.61323281836,0.7,0.3010159466731545,0.6894396155839155,7.949358179069937,77.4,747,0.0866891029360566,0.6137281292059219,4,0.0004641986770337,0.5515753678516484,1.0,1.6437072531951769,75393.34351469298,405,0.0937934228809634,0,0.0,0.582716049382716,19.80000000000001,3.8615417542771024,671,results/btc_eth_external_10m/models/fold_009_BTC.txt,2022-01-01T04:10:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:10:00+00:00,2023-09-28T04:00:00+00:00,82764,8634,4320,0.5470392550814163,double,0.47,0.58,False,False,0.525,0.47,0.58,0.52185615345,0.45997923473,0.58373307217,0.7,0.3807981844902152,0.614959655699582,10.215826985013534,167.40000000000003,2097,0.2428769979152189,0.6002872187649593,8,0.000926569376882,0.5516555510186381,1.0,1.6439462008727688,75284.15410477122,947,0.2192129629629629,2,0.0004629629629629,0.5587301587301587,5.200000000000019,0.6600615867972298,91,results/eth_btc_external_10m/models/fold_009_ETH.txt
