fold,fit_train_start,fit_train_end,validation_start,validation_end,test_start,test_end,fit_train_rows,validation_rows,test_rows,BTC_auc,BTC_threshold_mode,BTC_raw_short_threshold,BTC_raw_long_threshold,BTC_short_threshold_was_extreme,BTC_long_threshold_was_extreme,BTC_adjusted_threshold,BTC_adjusted_short_threshold,BTC_adjusted_long_threshold,BTC_threshold,BTC_short_threshold,BTC_long_threshold,BTC_threshold_ema_alpha,BTC_validation_probability_min,BTC_validation_probability_max,BTC_validation_threshold_sharpe,BTC_validation_threshold_pnl,BTC_validation_threshold_trades,BTC_validation_threshold_trade_fraction,BTC_validation_threshold_win_rate,BTC_validation_threshold_tie_trades,BTC_validation_threshold_tie_trade_fraction,BTC_fit_weight_min,BTC_fit_weight_mean,BTC_fit_weight_max,BTC_fit_weight_effective_rows,BTC_test_trades,BTC_test_trade_fraction,BTC_test_tie_trades,BTC_test_tie_trade_fraction,BTC_win_rate,BTC_pnl,BTC_test_sharpe,BTC_best_iteration,BTC_model_path,ETH_auc,ETH_threshold_mode,ETH_raw_short_threshold,ETH_raw_long_threshold,ETH_short_threshold_was_extreme,ETH_long_threshold_was_extreme,ETH_adjusted_threshold,ETH_adjusted_short_threshold,ETH_adjusted_long_threshold,ETH_threshold,ETH_short_threshold,ETH_long_threshold,ETH_threshold_ema_alpha,ETH_validation_probability_min,ETH_validation_probability_max,ETH_validation_threshold_sharpe,ETH_validation_threshold_pnl,ETH_validation_threshold_trades,ETH_validation_threshold_trade_fraction,ETH_validation_threshold_win_rate,ETH_validation_threshold_tie_trades,ETH_validation_threshold_tie_trade_fraction,ETH_fit_weight_min,ETH_fit_weight_mean,ETH_fit_weight_max,ETH_fit_weight_effective_rows,ETH_test_trades,ETH_test_trade_fraction,ETH_test_tie_trades,ETH_test_tie_trade_fraction,ETH_win_rate,ETH_pnl,ETH_test_sharpe,ETH_best_iteration,ETH_model_path
0,2022-01-01T04:03:00+00:00,2022-11-02T04:00:00+00:00,2022-11-02T04:03:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:03:00+00:00,2023-01-31T04:00:00+00:00,146378,28800,14396,0.543395620482434,double,0.45,0.56,False,False,0.505,0.45,0.56,0.505,0.45,0.56,0.7,0.3758984552863514,0.6220216461338873,13.540629873883415,282.00000000000006,3372,0.11708333333333333,0.6020166073546857,0,0.0,0.7381772946549436,1.0,1.3173603180831097,142336.70406393713,1702,0.11822728535704362,1,6.94637399277577e-05,0.5696649029982364,43.10000000000004,4.088964996315706,193,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_000_BTC.txt,0.53936015333682,double,0.42,0.56,False,False,0.49,0.42,0.56,0.49,0.42,0.56,0.7,0.3133298546394942,0.7037429926802261,12.150320695791605,226.10000000000008,2707,0.09399305555555555,0.6025260029717682,15,0.0005208333333333333,0.7382556252658775,1.0,1.3175001078589301,142129.60637509695,1358,0.09433175882189497,9,0.0006251736593498193,0.5833951074870274,66.70000000000003,7.128335143619443,580,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_000_ETH.txt
1,2022-01-01T04:03:00+00:00,2022-12-02T04:00:00+00:00,2022-12-02T04:03:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:03:00+00:00,2023-03-02T04:00:00+00:00,160778,28796,14400,0.5229008071733626,double,0.44,0.56,False,False,0.5,0.44,0.56,0.5015000000000001,0.44300000000000006,0.56,0.7,0.37664845302677524,0.6150216773210865,10.688060032693219,178.70000000000005,2173,0.07546186970412558,0.6012891344383057,1,3.4727045422975414e-05,0.7153864528789587,1.0,1.3515334467939077,155481.20782448037,1432,0.09944444444444445,0,0.0,0.5286312849162011,-69.39999999999998,-7.109862676585539,154,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_001_BTC.txt,0.5363026403749833,double,0.0,0.56,True,False,0.4536709261777845,0.34734185235556897,0.56,0.46456964832444914,0.3691392966488983,0.56,0.7,0.34734185235556897,0.6714471965736627,13.264743646173272,219.00000000000006,2148,0.07459369356855118,0.6131455399061033,18,0.0006250868176135574,0.7154734949609541,1.0,1.3516978897808023,155240.90292149232,863,0.059930555555555556,8,0.0005555555555555556,0.5660818713450292,15.400000000000013,2.0586104205828506,496,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_001_ETH.txt
2,2022-01-01T04:03:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:03:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:03:00+00:00,2023-04-01T04:00:00+00:00,175178,28796,14308,0.553716898930688,double,0.43,0.55,False,False,0.49,0.43,0.55,0.49345000000000006,0.43390000000000006,0.553,0.7,0.3935141828065837,0.5921706479467368,4.126470229257867,68.50000000000003,2114,0.07341297402417002,0.5735920492191198,1,3.4727045422975414e-05,0.6931317891945571,0.9999999999999999,1.3862580938983031,168387.40376289107,805,0.05626223091976516,0,0.0,0.591304347826087,51.80000000000002,7.201702092378437,116,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_002_BTC.txt,0.5520985319075601,double,0.0,0.55,True,False,0.47058567294377873,0.3911713458875575,0.55,0.4687808655579799,0.3845617311159597,0.553,0.7,0.3911713458875575,0.6318962772181667,4.572481547812271,69.80000000000004,1804,0.06264758994304764,0.5776536312849162,14,0.0004861786359216558,0.6933645578017115,1.0,1.3867236292708016,168025.50662085458,554,0.0387195974280123,3,0.0002096729102599944,0.5716878402903811,15.70000000000001,2.6261351087771145,142,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_002_ETH.txt
3,2022-01-01T04:03:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:03:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:03:00+00:00,2023-05-01T04:00:00+00:00,189574,28708,14386,0.5399947543453187,double,0.45,0.58,False,False,0.515,0.45,0.58,0.5085350000000001,0.44517000000000007,0.5719000000000001,0.7,0.3948136647929731,0.6021728358657249,5.080802709097523,79.80000000000004,1902,0.06625330918210952,0.5788643533123028,0,0.0,0.6713840463114225,1.0,1.4214823972920803,181054.11622470792,1001,0.06958153760600584,2,0.00013902405116085083,0.5695695695695696,25.00000000000003,3.095810315176159,122,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_003_BTC.txt,0.5460408013771381,double,0.45,0.58,False,False,0.515,0.45,0.58,0.501134259667394,0.4303685193347879,0.5719000000000001,0.7,0.34175914500045435,0.6951849231999621,6.315268616933194,130.90000000000006,3326,0.11585620732896754,0.5777710661431592,15,0.0005225024383447123,0.6717161899870863,1.0,1.422185625780934,180568.81983452392,1124,0.07813151675239817,4,0.00027804810232170165,0.5973214285714286,83.80000000000003,9.865127523730484,489,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_003_ETH.txt
4,2022-01-01T04:03:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:03:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:03:00+00:00,2023-05-31T04:00:00+00:00,203974,28694,14384,0.5444135154957044,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.5025605,0.434551,0.57057,0.7,0.36989879054253094,0.6540038874144933,7.773395792278338,116.40000000000005,1743,0.060744406496131595,0.5927627800114876,2,6.970098278385725e-05,0.6501454418272364,0.9999999999999997,1.457213487770133,193466.75075210916,1132,0.07869855394883203,6,0.0004171301446051168,0.5879218472468917,65.00000000000003,7.614728774238397,226,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_004_BTC.txt,0.5575531209086206,double,0.44,0.59,False,False,0.515,0.44,0.59,0.5108402779002182,0.4371105558004364,0.58457,0.7,0.3662162572133125,0.6677654049450423,11.983286030611533,173.20000000000005,1643,0.05725935735693873,0.614399023794997,4,0.0001394019655677145,0.6504763429613805,0.9999999999999997,1.4579551581176755,192914.6790732029,1167,0.08113181312569522,10,0.0006952169076751947,0.5868625756266206,64.20000000000003,7.417555829989693,434,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_004_ETH.txt
5,2022-01-01T04:03:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:03:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:03:00+00:00,2023-06-30T04:00:00+00:00,218282,28770,14377,0.5440763213599122,double,0.45,0.5700000000000001,False,False,0.51,0.45,0.5700000000000001,0.5077681500000001,0.4453653,0.5701710000000001,0.7,0.36068759503095343,0.6207119488706131,10.473036117613423,236.10000000000008,3939,0.13691345151199166,0.589058524173028,9,0.00031282586027111576,0.6295337905247362,1.0,1.4937361715023951,205536.76302211965,1732,0.12047019545106767,7,0.0004868887806913821,0.5721739130434783,50.900000000000034,4.801130468937971,240,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_005_BTC.txt,0.5480028021567149,double,0.42,0.5700000000000001,False,False,0.495,0.42,0.5700000000000001,0.4997520833700655,0.4251331667401309,0.5743710000000001,0.7,0.35327293161691115,0.6682443076077024,10.749653691113657,147.70000000000005,1484,0.05158150851581508,0.6115254237288136,9,0.00031282586027111576,0.6298314575984554,1.0,1.494442465718483,204936.28174477,853,0.059330875704249844,9,0.0006259998608889199,0.6327014218009479,116.30000000000001,15.912459655153022,297,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_005_ETH.txt
6,2022-01-01T04:03:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:03:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:03:00+00:00,2023-07-30T04:00:00+00:00,232668,28761,14294,0.5693864273969762,double,0.42,0.56,False,False,0.49,0.42,0.56,0.495330445,0.42760959,0.5630513,0.7,0.3177034277338153,0.6884902094394365,13.313061927482313,300.70000000000005,3995,0.13890337609957928,0.5981331987891019,31,0.0010778484753659469,0.6093914604612181,1.0,1.5307117192931992,217325.48920488788,2772,0.1939275220372184,70,0.004897159647404506,0.5977054034048853,198.00000000000006,15.059829388187174,387,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_006_BTC.txt,0.5517009170330172,double,0.42,0.5700000000000001,False,False,0.495,0.42,0.5700000000000001,0.49642562501101967,0.42153995002203926,0.5713113000000001,0.7,0.3689472155363019,0.668847577284244,11.672113646465645,174.70000000000005,1772,0.061611209624143806,0.6116504854368932,21,0.0007301554187962866,0.609593560748951,1.0,1.5312193688074722,216724.4578441151,1170,0.0818525255351896,24,0.0016790261648244019,0.5636998254799301,14.400000000000025,1.6677995433195525,303,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_006_ETH.txt
7,2022-01-01T04:03:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:03:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:03:00+00:00,2023-08-29T04:00:00+00:00,247052,28671,14016,0.5939268223376746,double,0.41000000000000003,0.6,False,False,0.505,0.41000000000000003,0.6,0.5020991335,0.415282877,0.58891539,0.7,0.31990773572277703,0.7190668421679599,19.118384073110374,295.50000000000006,1950,0.06801297478288165,0.6431949553336836,47,0.001639287084510481,0.5897332586858749,1.0000000000000002,1.5681761900447369,228828.34465241287,1922,0.13712899543378995,97,0.006920662100456621,0.6410958904109589,271.30000000000007,25.63893434777419,387,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_007_BTC.txt,0.5562052577960956,double,0.43,0.58,False,False,0.505,0.43,0.58,0.5024276875033059,0.4274619850066118,0.57739339,0.7,0.38158025505714066,0.6573058720769853,8.059390694779822,114.20000000000002,1585,0.05528234104147048,0.5969289827255279,22,0.0007673258693453315,0.5899047567090222,1.0,1.5686322252311171,228195.4857776236,1179,0.0841181506849315,71,0.005065639269406392,0.6037906137184116,89.10000000000004,10.696252469933443,183,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_007_ETH.txt
8,2022-01-01T04:03:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:03:00+00:00,2023-08-29T04:00:00+00:00,2023-08-29T04:03:00+00:00,2023-09-28T04:00:00+00:00,261429,28310,14243,0.5746942069762279,double,0.4,0.63,False,False,0.515,0.4,0.63,0.51112974005,0.40458486309999997,0.617674617,0.7,0.2840519717574549,0.7694073424584111,30.040337206166736,501.1000000000001,2387,0.08431649593783115,0.6794759825327511,97,0.0034263511126810314,0.5705801074626803,1.0,1.6061941968392885,240010.04798109335,1328,0.09323878396405251,52,0.0036509162395562734,0.6316614420062696,169.60000000000002,18.958511864329065,587,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_008_BTC.txt,0.5725517018966207,double,0.43,0.6,False,False,0.515,0.43,0.6,0.5112283062509917,0.4292385955019835,0.593218017,0.7,0.36117399976869047,0.6869067708698718,13.594179715538793,197.50000000000006,1778,0.06280466266336983,0.6237388724035609,93,0.003285058283292123,0.5707298811914234,1.0,1.6066158128241428,239343.31311085232,883,0.06199536614477287,20,0.0014041985536754897,0.6338354577056778,119.60000000000004,16.262279265287365,198,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_008_ETH.txt
9,2022-01-01T04:03:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:03:00+00:00,2023-09-28T04:00:00+00:00,2023-09-28T04:03:00+00:00,2023-10-28T04:00:00+00:00,275723,28259,14338,0.5576031077014267,double,0.42,0.61,False,False,0.515,0.42,0.61,0.513838922015,0.41537545893,0.6123023851,0.7,0.21913367504147363,0.8116364702280426,36.09563447532109,951.8000000000002,5962,0.21097703386531724,0.6516754850088183,292,0.010332991259421777,0.5522092227863793,1.0,1.6456113466923215,250694.1280306802,1789,0.12477332961361418,42,0.0029292788394476217,0.5981682884945622,129.80000000000004,12.257866968491,753,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_009_BTC.txt,0.5416421610434371,double,0.43,0.6,False,False,0.515,0.43,0.6,0.5138684918752976,0.42977157865059507,0.5979654051000001,0.7,0.29755163565531667,0.7348523679324883,24.650106730300912,555.1000000000001,4304,0.15230546020736757,0.6340269277845777,219,0.0077497434445663324,0.5522123422147396,1.0,1.645620642746232,250080.78267047773,1368,0.09541079648486539,20,0.0013948946854512485,0.5816023738872403,61.200000000000024,6.553024720632371,764,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_009_ETH.txt
