fold,fit_train_start,fit_train_end,validation_start,validation_end,test_start,test_end,fit_train_rows,validation_rows,test_rows,SOL_auc,SOL_threshold_mode,SOL_raw_short_threshold,SOL_raw_long_threshold,SOL_short_threshold_was_extreme,SOL_long_threshold_was_extreme,SOL_adjusted_threshold,SOL_adjusted_short_threshold,SOL_adjusted_long_threshold,SOL_threshold,SOL_short_threshold,SOL_long_threshold,SOL_threshold_ema_alpha,SOL_validation_probability_min,SOL_validation_probability_max,SOL_validation_threshold_sharpe,SOL_validation_threshold_pnl,SOL_validation_threshold_trades,SOL_validation_threshold_trade_fraction,SOL_validation_threshold_win_rate,SOL_validation_threshold_tie_trades,SOL_validation_threshold_tie_trade_fraction,SOL_fit_weight_min,SOL_fit_weight_mean,SOL_fit_weight_max,SOL_fit_weight_effective_rows,SOL_test_trades,SOL_test_trade_fraction,SOL_test_tie_trades,SOL_test_tie_trade_fraction,SOL_win_rate,SOL_pnl,SOL_test_sharpe,SOL_best_iteration,SOL_model_path
0,2022-01-01T04:15:00+00:00,2022-11-02T04:00:00+00:00,2022-11-02T04:15:00+00:00,2023-01-01T02:15:00+00:00,2023-01-01T04:30:00+00:00,2023-01-31T04:00:00+00:00,28738,5425,2862,0.5720695723012501,double,0.47000000000000003,0.59,False,False,0.53,0.47000000000000003,0.59,0.53,0.47000000000000003,0.59,0.7,0.3858598522412812,0.6240574146699915,5.959302172383324,66.30000000000004,1119,0.2062672811059908,0.5972495088408645,101,0.018617511520737328,0.7379811718964621,1.0,1.3169894730962215,27402.88343144931,704,0.24598183088749126,33,0.011530398322851153,0.5618479880774963,4.300000000000014,0.6500070763323872,190,results/sol_btc_external_15m/models/fold_000_SOL.txt
1,2022-01-01T04:15:00+00:00,2022-12-02T04:00:00+00:00,2022-12-02T04:15:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:15:00+00:00,2023-03-02T04:00:00+00:00,31605,5420,2859,0.5364895866231533,double,0.43,0.55,False,False,0.49,0.43,0.55,0.502,0.44200000000000006,0.562,0.7,0.3670704225735877,0.6265268267188512,9.280228314041523,73.00000000000001,566,0.1044280442804428,0.6384615384615384,46,0.008487084870848708,0.7155967742320922,1.0,1.3519093988385293,29890.514965465747,317,0.11087792934592515,18,0.0062959076600209865,0.5852842809364549,14.200000000000005,3.234674948953582,227,results/sol_btc_external_15m/models/fold_001_SOL.txt
2,2022-01-01T04:15:00+00:00,2023-01-01T02:15:00+00:00,2023-01-01T04:30:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:15:00+00:00,2023-04-01T04:00:00+00:00,34163,5721,2846,0.5486136120120548,double,0.38,0.56,False,False,0.47000000000000003,0.38,0.56,0.4796,0.3986,0.5606,0.7,0.3449532654057643,0.6286890982506077,7.577352124499373,46.300000000000004,311,0.05436112567732914,0.6442953020134228,13,0.002272330012235623,0.6974106845417288,1.0,1.394600652187864,31863.144094240324,148,0.05200281096275474,5,0.0017568517217146872,0.5174825174825175,-10.299999999999997,-3.349653732966222,249,results/sol_btc_external_15m/models/fold_002_SOL.txt
3,2022-01-01T04:15:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:15:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:15:00+00:00,2023-05-01T04:00:00+00:00,37025,5705,2845,0.5585978973843865,double,0.42,0.54,False,False,0.48,0.42,0.54,0.47988,0.41358,0.54618,0.7,0.36966583008010856,0.6631504597662292,3.5772560033416867,40.50000000000002,1044,0.18299737072743208,0.5809045226130654,49,0.008588957055214725,0.675032532519202,1.0,1.4291845075428968,34244.33652863561,394,0.13848857644991214,34,0.01195079086115993,0.5694444444444444,5.600000000000004,1.1608292062253585,199,results/sol_btc_external_15m/models/fold_003_SOL.txt
4,2022-01-01T04:15:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:15:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:15:00+00:00,2023-05-31T04:00:00+00:00,39884,5691,2734,0.5865907651681304,double,0.42,0.62,False,False,0.52,0.42,0.62,0.507964,0.418074,0.597854,0.7,0.3598532431622231,0.6613638934887827,4.094210887382433,23.600000000000005,286,0.05025478826216834,0.6106870229007634,24,0.004217185028993147,0.6534628378861922,0.9999999999999998,1.4646258061670607,36558.576237393456,163,0.05961960497439649,12,0.0043891733723482075,0.609271523178808,13.400000000000006,4.41659974402924,261,results/sol_btc_external_15m/models/fold_004_SOL.txt
5,2022-01-01T04:15:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:15:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:15:00+00:00,2023-06-30T04:00:00+00:00,42730,5579,2640,0.546487587023099,double,0.42,0.54,False,False,0.48,0.42,0.54,0.4883892,0.41942219999999997,0.5573562000000001,0.7,0.3422910664393921,0.6253514199316487,9.194958644137254,102.00000000000001,1095,0.19627173328553504,0.6180904522613065,100,0.01792435920415845,0.6325971636818584,1.0,1.5009810845584821,38804.374198286445,360,0.13636363636363635,24,0.00909090909090909,0.5654761904761905,3.6000000000000094,0.801247300995596,242,results/sol_btc_external_15m/models/fold_005_SOL.txt
6,2022-01-01T04:15:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:15:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:15:00+00:00,2023-07-30T04:00:00+00:00,45575,5374,2848,0.5589487515857767,double,0.37,0.56,False,False,0.465,0.37,0.56,0.47201676000000004,0.38482666,0.5592068600000001,0.7,0.34538661076456334,0.6440319527017291,8.484041799730125,61.000000000000014,488,0.09080759211016003,0.639269406392694,50,0.009304056568663937,0.6124689256023392,1.0000000000000002,1.538417563515889,40967.00074263556,164,0.05758426966292135,4,0.0014044943820224719,0.64375,25.0,7.913739995401654,266,results/sol_btc_external_15m/models/fold_006_SOL.txt
7,2022-01-01T04:15:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:15:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:15:00+00:00,2023-08-29T02:30:00+00:00,48309,5488,2472,0.5489926114328355,double,0.39,0.61,False,False,0.5,0.39,0.61,0.491605028,0.38844799799999996,0.594762058,0.7,0.28174306792656234,0.7102598837259804,10.646771550017315,64.80000000000001,333,0.06067784256559767,0.6741214057507987,20,0.0036443148688046646,0.5942538426198112,1.0,1.5801719942656913,42910.34903338442,237,0.09587378640776699,18,0.007281553398058253,0.634703196347032,29.400000000000006,8.518114856145804,729,results/sol_btc_external_15m/models/fold_007_SOL.txt
8,2022-01-01T04:15:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:15:00+00:00,2023-08-29T02:30:00+00:00,2023-08-29T06:45:00+00:00,2023-09-28T03:45:00+00:00,50949,5320,2341,0.561922814466601,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.49748150840000005,0.4175343994,0.5774286174000001,0.7,0.3022884455388868,0.6717010425352026,11.402331452594721,113.40000000000003,882,0.16578947368421051,0.6323877068557919,36,0.006766917293233083,0.5763166219712221,1.0,1.6223169239070994,44770.45659976298,336,0.14352840666381889,29,0.012387868432293891,0.6058631921824105,24.900000000000006,6.216176684674909,423,results/sol_btc_external_15m/models/fold_008_SOL.txt
9,2022-01-01T04:15:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:15:00+00:00,2023-09-28T03:45:00+00:00,2023-09-28T08:00:00+00:00,2023-10-28T04:00:00+00:00,53797,4813,2768,0.5500284127149798,double,0.44,0.6,False,False,0.52,0.44,0.6,0.51324445252,0.43326031982,0.59322858522,0.7,0.33448645661389964,0.6507200438560196,5.256253872053604,42.20000000000002,640,0.1329731975898608,0.5986622073578596,42,0.008726366091834614,0.5566038079919277,1.0000000000000002,1.6586811830434947,46809.326982253384,312,0.11271676300578035,20,0.0072254335260115606,0.5582191780821918,-0.5999999999999943,-0.13967216752470762,248,results/sol_btc_external_15m/models/fold_009_SOL.txt
